-12.4660, 130.8423, Oct22 08:40:00
-12.470308000000003, 130.98751599999997, Oct22 08:59:06
-12.477058999999997, 131.00056899999998, Oct22 09:02:11
-12.477232999999998, 131.00073699999996, Oct22 09:02:12
-12.478333000000006, 131.00177300000001, Oct22 09:02:18
-12.479066000000003, 131.002458, Oct22 09:02:22
-12.479788, 131.00314099999997, Oct22 09:02:26
-12.480511000000007, 131.00381799999997, Oct22 09:02:30
-12.48087000000001, 131.00416, Oct22 09:02:32
-12.481048000000001, 131.00433299999997, Oct22 09:02:33
-12.481396000000004, 131.00468999999998, Oct22 09:02:35
-12.482382999999999, 131.00584599999996, Oct22 09:02:41
-12.483179000000007, 131.006868, Oct22 09:02:46
-12.483502999999999, 131.00727, Oct22 09:02:52
-12.48384, 131.007658, Oct22 09:02:54
-12.484009999999998, 131.00784699999997, Oct22 09:02:57
-12.484184999999997, 131.00802999999996, Oct22 09:02:57
-12.48436000000001, 131.00820999999996, Oct22 09:02:57
-12.491281, 131.01136299999996, Oct22 09:03:24
-12.492041999999998, 131.01151699999997, Oct22 09:03:27
-12.492546000000004, 131.01162599999998, Oct22 09:03:29
-12.493779000000004, 131.01197099999996, Oct22 09:03:34
-12.496532000000002, 131.01331999999996, Oct22 09:03:47
-12.497026000000005, 131.01360499999998, Oct22 09:03:50
-12.497650000000007, 131.01396499999998, Oct22 09:03:54
-12.497966000000005, 131.01414499999998, Oct22 09:03:56
-12.498286000000007, 131.01432899999998, Oct22 09:03:58
-12.498614000000003, 131.01452, Oct22 09:04:00
-12.498781000000008, 131.014617, Oct22 09:04:01
-12.499119000000007, 131.014814, Oct22 09:04:03
-12.499463000000006, 131.015013, Oct22 09:04:05
-12.50049, 131.015605, Oct22 09:04:11
-12.500827000000001, 131.01579899999996, Oct22 09:04:13
-12.501164000000003, 131.01599299999998, Oct22 09:04:15
-12.501500000000007, 131.01619, Oct22 09:04:17
-12.501838000000006, 131.016385, Oct22 09:04:19
-12.502520000000004, 131.016775, Oct22 09:04:23
-12.502868000000007, 131.016978, Oct22 09:04:25
-12.503230000000002, 131.017184, Oct22 09:04:27
-12.503605000000007, 131.01739699999996, Oct22 09:04:29
-12.503989000000004, 131.01761999999997, Oct22 09:04:31
-12.527972000000005, 131.04814699999997, Oct22 09:07:31
-12.528565, 131.048701, Oct22 09:07:35
-12.529027, 131.04909799999996, Oct22 09:07:38
-12.529335000000003, 131.04935999999998, Oct22 09:07:40
-12.530279000000007, 131.05013299999996, Oct22 09:07:46
-12.530596000000003, 131.050392, Oct22 09:07:48
-12.530912999999998, 131.050659, Oct22 09:07:50
-12.531238000000002, 131.050928, Oct22 09:07:52
-12.531745999999998, 131.051335, Oct22 09:07:55
-12.532087000000004, 131.05161899999996, Oct22 09:07:57
-12.532437000000002, 131.05191199999996, Oct22 09:07:59
-12.53317100000001, 131.05251199999998, Oct22 09:08:03
-12.533746000000008, 131.052974, Oct22 09:08:06
-12.534130000000005, 131.053293, Oct22 09:08:08
-12.534711000000001, 131.05377299999998, Oct22 09:08:11
-12.535103000000007, 131.05409199999997, Oct22 09:08:13
-12.535887000000002, 131.05473899999998, Oct22 09:08:17
-12.536276999999998, 131.055066, Oct22 09:08:19
-12.536667000000008, 131.055391, Oct22 09:08:22
-12.537632000000002, 131.056214, Oct22 09:08:26
